"year","combinedStatus","fullName","sortName","primaryNationality","secondaryNationality","tertiaryNationality","gender","photoUrl","photoCredit","type","lastStatus","typeOfDeath","status","employedAs","organizations","jobs","coverage","mediums","country","location","region","state","locality","province","localOrForeign","sourcesOfFire","motiveConfirmed","accountabilityCrossfire","accountabilityAssignment","impunityMurder","tortured","captive","threatened","charges","motive","lengthOfSentence","healthProblems","impCountry","entry","sentenceDate","sentence","locationImprisoned"
"2006","Confirmed","Abdul Qodus",,"Afghanistan",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Aryana TV","Camera Operator","War","Television","Afghanistan","Kandahar",,,"Kandahar",,"Local","Political Group","Confirmed",,,,,,,,,,,,,,,
"2013","Confirmed","Abdul Raheem Kour Hassan",,"Syria",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Watan FM","Broadcast Reporter,Photographer,Publisher/Owner","Human Rights,Politics,War","Radio,Internet","Syria","Damascus",,,"Damascus",,"Local","Government Officials","Confirmed",,,,,,,,,,,,,,,
"2018","Confirmed","Abdul Rahman Ismael Yassin",,"Syria",,,"Male",,,"Journalist","Killed","Crossfire","Killed","Staff","Hammouriyeh Media Office","Photographer,Internet Reporter","War","Internet","Syria","Hammouriyeh",,,"Hammouriyeh","eastern Ghouta","Local","Military Officials","Confirmed","No",,,,,,,,,,,,,,
"2008","Confirmed","Abdul Razzak Johra",,"Pakistan",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Royal TV","Broadcast Reporter","Crime","Television","Pakistan","Punjab",,,"Punjab",,"Local","Criminal Group","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2016","Confirmed","Abdul Salam Kanaan",,"Syria",,,"Male",,,"Journalist",,"Crossfire","Killed","Staff","Al-Jisr TV","Broadcast Reporter","War","Television","Syria","Zafraneh",,,"Zafraneh",,"Local","Military Officials","Confirmed",,,,,,,,,,,,,,,
"2008","Confirmed","Abdul Samad Rohani",,"Afghanistan",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/rohani_afghanistan_2008.jpg","","Journalist",,"Murder","Killed","Staff","BBC and Pajhwok Afghan News","Broadcast Reporter,Print Reporter","Crime","Print,Radio","Afghanistan","Lashkar Gah",,,"Lashkar Gah",,"Local","Criminal Group","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"1994","Confirmed","Abdul Shariff",,"South Africa",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/Shariff.SouthAfrica.1994.2.jpg","AP","Journalist",,"Crossfire","Killed","Freelance","freelance","Photographer","Human Rights,Politics","Print","South Africa","Katlehong Township",,,"Katlehong Township",,"Local","Paramilitary Group","Confirmed",,,,,,,,,,,,,,,
"2010","Confirmed","Abdul Wahab",,"Pakistan",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Express News","Broadcast Reporter,Camera Operator","Politics,War","Television","Pakistan","Ghalanai",,,"Ghalanai",,"Local","Political Group","Confirmed",,,,,,,,,,,,,,,
"2006","Confirmed","Abdul-Rahim Nasrallah al-Shimari",,"Iraq",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Al-Shaabiya","Producer","Human Rights,Politics,War","Television","Iraq","Baghdad",,,"Baghdad",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"1999","Confirmed","Abdulai Jumah Jalloh",,"Sierra Leone",,,"Male",,,"Journalist",,"Murder","Killed","Staff","African Champion","Editor","War","Print","Sierra Leone","Freetown",,,"Freetown",,"Local","Military Officials","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2014","Confirmed","Abdulkadir Ahmed",,"Somalia",,,"Male",,,"Journalist",,"Murder","Killed","Freelance","Freelance","Broadcast Reporter","Politics","Radio,Television","Somalia","Baidoa",,,"Baidoa",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2007","Confirmed","Abdulkadir Mahad Moallim Kaskey",,"Somalia",,,"Male",,,"Journalist",,"Crossfire","Killed","Freelance","Radio Banadir","Broadcast Reporter","Politics","Radio","Somalia","Bardera",,,"Bardera",,"Local","Political Group","Confirmed",,,,,,,,,,,,,,,
"2009","Confirmed","Abdulkhafar Abdulkadir",,"Somalia",,,"Male",,,"Journalist",,"Crossfire","Killed","Freelance","freelance","Photographer","Culture,War","Print","Somalia","Mogadishu",,,"Mogadishu",,"Local","Political Group","Confirmed",,,,,,,,,,,,,,,
"2018","Confirmed","Abdullah al-Qadry",,"Yemen",,,"Male",,,"Journalist","Killed","Crossfire","Killed","Staff","Belqees TV","Camera Operator,Photographer","War","Television","Yemen","Qaniyah",,,"Qaniyah","Bayda","Local","Political Group","Confirmed","No",,,,,,,,,,,,,,
"2018","Confirmed","Abdullah Mire Hashi",,"Somalia",,,"Male",,,"Journalist","Killed","Murder","Killed","Staff","Darul Sunnah","Producer,Columnist/Commentator","Culture,Crime,Business","Radio","Somalia","Elasha Bihaya",,,"Elasha Bihaya",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2016","Confirmed","Abdullah Mohammad Ghannam",,"Syria",,,"Male",,,"Journalist",,"Crossfire","Killed","Staff","Shahba Press Agency","Photographer,Internet Reporter","Human Rights,War","Internet","Syria","Kafr Hamra, Aleppo",,,"Kafr Hamra, Aleppo",,"Local","Military Officials","Confirmed",,,,,,,,,,,,,,,
"2015","Confirmed","Abdullah Qabil",,"Yemen",,,"Male",,,"Journalist",,"Crossfire","Killed","Staff","Yemen Youth TV, Belqees TV","Broadcast Reporter","Politics,War","Television","Yemen","Dhamar",,,"Dhamar",,"Local","Military Officials","Confirmed",,,,,,,,,,,,,,,
"2003","Confirmed","Abdullahi Madkeer",,"Somalia",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","DMC Radio","Broadcast Reporter","Politics","Radio","Somalia","Baidoa",,,"Baidoa",,"Local","Paramilitary Group","Confirmed",,,,,,,,,,,,,,,
"2017","Confirmed","Abdullahi Osman Moalim",,"Somalia",,,"Male",,,"Journalist","Killed","Murder","Killed","Staff","Jubbaland TV, Codka Hiraan","Broadcast reporter","Politics","Radio,Television","Somalia","Beledweyne",,"Hiraan","Beledweyne",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2009","Confirmed","Abdulmalik Akhmedilov",,"Russia",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/Akhmedilov.Hakikat.jpg","Hakikat","Journalist",,"Murder","Killed","Staff","Hakikat and Sogratl","Editor","Politics","Print","Russia","Makhachkala ",,,"Makhachkala ",,"Local",,"Confirmed",,,"Partial Impunity","No","No","No",,,,,,,,,
"2007","Confirmed","Abdulrazak Hashim Ayal al-Khakani",,"Iraq",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Jumhuriyat al-Iraq","Broadcast Reporter,Editor","Politics","Radio","Iraq","Baghdad",,,"Baghdad",,"Local","Political Group","Confirmed",,,"Complete Impunity","Yes","Yes","No",,,,,,,,,
"2007","Confirmed","Abshir Ali Gabre",,"Somalia",,,"Male",,,"Journalist",,"Crossfire","Killed","Staff","Radio Jowhar","Editor","Politics","Radio","Somalia","Jowhar",,,"Jowhar",,"Local","Political Group","Confirmed",,,,,,,,,,,,,,,
"2012","Confirmed","Abukar Hassan Mohamoud",,"Somalia",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/Abukar.Hassan.NUSOJ.cap.jpg","(NUSOJ)","Journalist",,"Murder","Killed","Staff","Somaliweyn Radio","Editor","Human Rights,Politics","Radio","Somalia","Mogadishu",,,"Mogadishu",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2018","Confirmed","Achyutananda Sahu",,"India",,,"Male","https://cpj-photos.s3.us-west-2.amazonaws.com/prod/Sahu_Doordarshan1.jpg_1fd9419f-61b7-4e4e-ac74-65442e9fea46.jpeg","Doordarshan","Journalist","Killed","Crossfire","Killed","Staff","Doordarshan","Camera Operator","Politics","Television","India","Chhattisgarh",,"Chhattisgarh",,,"Local","Political Group","Confirmed","No",,,,,,,,,,,,,,
"2015","Confirmed","Adam Juma",,"South Sudan",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Raja FM","Broadcast Reporter","Politics,War","Radio","South Sudan","Western Bahr al Ghazal state",,"Western Bahr al Ghazal state","Western Bahr al Ghazal state",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2015","Confirmed","Adam Ward",,"USA",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","WDBJ7","Camera Operator","Business,Corruption,Crime,Culture,Human Rights,Politics,Sports","Television","USA","Smith Mountain Lake, Virginia",,,"Smith Mountain Lake, Virginia",,"Local","Local Residents","Confirmed",,,,,,,,,,,,,,,
"2006","Confirmed","Adel Naji al-Mansouri ",,"Iraq",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Al-Alam","Broadcast Reporter","War","Television","Iraq","Baghdad",,,"Baghdad",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"2015","Confirmed","Adel Sayegh ",,"Iraq",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/Adel-Sayegh200.jpg","Photo courtesy of the family","Journalist",,"Murder","Killed","Staff","Salaheddin TV","Camera Operator,Photographer","Politics,War","Television","Iraq","Mosul",,,"Mosul",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","Yes","No",,,,,,,,,
"2001","Confirmed","Adel Zerrouk",,"Algeria",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Al-Rai","Print Reporter","Human Rights","Print","Algeria","Algiers",,,"Algiers",,"Local","Political Group","Confirmed",,,,,,,,,,,,,,,
"1995","Confirmed","Adil Bunyatov",,"Azerbaijan",,,"Male",,,"Journalist",,"Crossfire","Killed","Staff","Reuters TV and Turan News Agency","Camera Operator","War","Television","Azerbaijan","Baku",,,"Baku",,"Local","Military Officials","Confirmed",,,,,,,,,,,,,,,
"2004","Confirmed","Adlan Khasanov",,"Russia",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/adlan_khasanov_russia_2004.jpg","","Journalist",,"Dangerous Assignment","Killed","Staff","Reuters","Camera Operator","Politics,War","Television","Russia","Grozny",,,"Grozny",,"Local","Political Group","Confirmed",,,,,,,,,,,,,,,
"2005","Confirmed","Adnan al-Bayati",,"Iraq",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/adnan_al_bayati_iraq_2005.jpg","","Journalist",,"Murder","Killed","Freelance","TG3","Producer","War","Television","Iraq","Baghdad",,,"Baghdad",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2007","Confirmed","Adnan al-Safi",,"Iraq",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Al-Anwar","Broadcast Reporter","Culture,Politics","Television","Iraq","Baghdad",,,"Baghdad",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2006","Confirmed","Adnan Khairallah",,"Iraq",,,"Male",,,"Journalist",,"Murder","Killed","Freelance","Wasan Productions and Al-Arabiya","Technician","War","Television","Iraq","Samarra",,,"Samarra",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"1992","Confirmed","Adolfo Isuiza Urquia",,"Peru",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Radio Tropical","Broadcast Reporter","Crime","Radio","Peru","Juanjui",,,"Juanjui",,"Local","Criminal Group","Confirmed",,,"Complete Impunity","Yes","Yes","Yes",,,,,,,,,
"1994","Confirmed","Adolphe Missamba Ndengi Kavula",,"Democratic Republic of the Congo",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Nsemo","Editor","Politics","Print","Democratic Republic of the Congo","Kasangulu",,,"Kasangulu",,"Local","Government Officials","Confirmed",,,"Complete Impunity","Yes","Yes","No",,,,,,,,,
"2012","Confirmed","Adrián Silva Moreno",,"Mexico",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Freelance","Freelance","Print Reporter","Crime","Print","Mexico","Tehuacán",,,"Tehuacán",,"Local","Criminal Group","Confirmed",,,,,,,,,,,,,,,
"1999","Confirmed","Agus Muliawan",,"East Timor",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Asia Press International","Print Reporter","War","Print","East Timor","Baucau",,,"Baucau",,"Local","Paramilitary Group","Confirmed",,,,,,,,,,,,,,,
"2016","Confirmed","Ahmad Hallak",,"Syria",,,"Male",,,"Journalist",,"Crossfire","Killed","Staff","Al-Buraq Media Institution","Photographer,Internet Reporter","War","Internet","Syria","Aleppo",,,"Aleppo",,"Local","Military Officials","Confirmed",,,,,,,,,,,,,,,
"2003","Confirmed","Ahmad Kareem",,"Iraq",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/ahmad_kareem_iraq_2003.jpg","","Journalist",,"Crossfire","Killed","Staff","Kurdistan TV","Producer","War","Television","Iraq","Mosul",,,"Mosul",,"Local","Military Officials","Confirmed",,,,,,,,,,,,,,,
"2011","Confirmed","Ahmad Mohamed Mahmoud",,"Egypt",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Al-Ta'awun","Print Reporter","Politics","Print","Egypt","Cairo",,,"Cairo",,"Local",,"Confirmed",,,,,,,,,,,,,,,
"2011","Confirmed","Ahmad Omaid Khpalwak",,"Afghanistan",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/Khalpwak.rtr1.jpg","","Journalist",,"Crossfire","Killed","Staff","Pajhwok Afghan News, BBC","Broadcast Reporter,Photographer","War","Print,Television","Afghanistan","Tarin Kot",,,"Tarin Kot",,"Local","Military Officials","Confirmed",,,,,,,,,,,,,,,
"2006","Confirmed","Ahmad Sha'ban",,"Iraq",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Al-Shaabiya","Broadcast Reporter","Human Rights,Politics,War","Television","Iraq","Baghdad",,,"Baghdad",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"1995","Confirmed","Ahmed (aka Hakim) Takouchet",,"Algeria",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Radio Cirta","Broadcast Reporter","War","Radio","Algeria","Constantine",,,"Constantine",,"Local",,"Confirmed",,,"Complete Impunity","No","Yes","No",,,,,,,,,
"2013","Confirmed","Ahmed Abdel Gawad",,"Egypt",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Al-Akhbar, Misr25","Editor,Print Reporter","Human Rights,Politics","Print,Television","Egypt","Cairo",,,"Cairo",,"Local",,"Confirmed",,,,,,,,,,,,,,,
"2015","Confirmed","Ahmed Abu al-Hamza",,"Syria",,,"Male",,,"Journalist",,"Crossfire","Killed","Staff","SMART News Agency, Hama Media Center","Camera Operator,Photographer","War","Internet","Syria","Sukayk, Hama province",,,"Sukayk, Hama province","Sukayk, Hama province","Local","Military Officials","Confirmed",,,,,,,,,,,,,,,
"2018","Confirmed","Ahmed Abu Hussein",,"Israel and the Occupied Palestinian Territory",,,"Male",,,"Journalist","Killed","Dangerous Assignment","Killed","Staff","Voice of the People Radio,Bisan News Agency","Photographer","Human Rights,Politics,War","Internet","Israel and the Occupied Palestinian Territory","Jabalia",,,"Jabalia","Northern Gaza","Local","Military Officials","Confirmed",,"No",,,,,,,,,,,,,
"2005","Confirmed","Ahmed Adam",,"Iraq",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Al-Mada","Print Reporter","War","Print","Iraq","Latifiyah",,,"Latifiyah",,"Local",,"Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2012","Confirmed","Ahmed Addow Anshur",,"Somalia",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/Ahmed%252520Addow%252520%252528Shabelle%252529.cropped.jpg","Shabelle","Journalist",,"Murder","Killed","Staff","Shabelle Media Network","Broadcast Reporter,Columnist/Commentator,Producer","Politics","Radio","Somalia","Mogadishu",,,"Mogadishu",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2012","Confirmed","Ahmed Adnan al-Ashlaq",,"Syria",,,"Male",,,"Journalist",,"Crossfire","Killed","Staff","Shaam News Network","Camera Operator","Human Rights,War","Internet","Syria","Damascus",,,"Damascus",,"Local","Military Officials","Confirmed",,,,,,,,,,,,,,,
"2012","Confirmed","Ahmed al-Assam",,"Syria",,,"Male",,,"Journalist",,"Crossfire","Killed","Freelance","Freelance","Camera Operator","Human Rights,War","Internet","Syria","Homs",,,"Homs",,"Local","Military Officials","Confirmed",,,,,,,,,,,,,,,
"2005","Confirmed","Ahmed al-Rubai'i",,"Iraq",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Al-Sabah","Editor","War","Print","Iraq","Baghdad",,,"Baghdad",,"Local","Criminal Group","Confirmed",,,"Complete Impunity","No","Yes","No",,,,,,,,,
"2016","Confirmed","Ahmed al-Shaibani",,"Yemen",,,"Male",,,"Journalist",,"Crossfire","Killed","Freelance","Yaman News, Yemen TV","Camera Operator,Photographer,Internet Reporter","War","Television,Internet","Yemen","Taiz",,,"Taiz",,"Local","Political Group","Confirmed",,,,,,,,,,,,,,,
"2013","Confirmed","Ahmed Assem el-Senousy",,"Egypt",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Freedom and Justice","Photographer","Human Rights,Politics","Print,Internet","Egypt","Cairo",,,"Cairo",,"Local","Military Officials","Confirmed",,,,,,,,,,,,,,,
"2018","Confirmed","Ahmed Azize",,"Syria",,,"Male",,,"Journalist","Killed","Crossfire","Killed","Staff","Aleppo News Network","Photographer,Camera Operator","War","Internet","Syria","Urum al-Kubra",,"Aleppo Governorate","Urum al-Kubra",,"Local","Military Officials","Confirmed","No",,,,,,,,,,,,,,
"2012","Confirmed","Ahmed Farah Ilyas",,"Somalia",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/Ahmed%252520Farah%252520%252528Somalilandpress%252529cap.jpg","","Journalist",,"Murder","Killed","Staff","Universal TV","Broadcast Reporter","Culture,Politics","Television","Somalia","Las Anod",,,"Las Anod",,"Local",,"Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"2007","Confirmed","Ahmed Hadi Naji",,"Iraq",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/ahmed_hadi_naji_iraq_2007.jpg","","Journalist",,"Murder","Killed","Freelance","Associated Press Television News","Camera Operator","War","Television","Iraq","Baghdad",,,"Baghdad",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","Yes","No",,,,,,,,,
"1993","Confirmed","Ahmed Haidar",,"Lebanon",,,"Male",,,"Journalist",,"Crossfire","Killed","Staff","Al-Manar Television","Camera Operator","War","Television","Lebanon","Beirut",,,"Beirut",,"Local","Military Officials","Confirmed",,,,,,,,,,,,,,,
"2014","Confirmed","Ahmed Hasan Ahmed",,,,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Xinhua News Agency","Camera Operator,Photographer","Human Rights,Politics,War","Internet","Syria","Damascus",,,"Damascus",,"Foreign",,"Confirmed",,,,,,,,,,,,,,,
